year,real_gdp,capital_stock,population,human_capital_index,s,real_interest_rate,depreciation_rate,labour_force,consumption_share,total_factor_productivity,consumption,labour_share_output,y,k,n,growth_rate,g,capital_share,A_estimate,actual_investment,break_even_investment,delta_k,c,g_c_dot,estimated_rho,rck_capital_accumulation,c_k_dot_zero
1999,3336879.0,12583994.0,81.678287,3.55247449874878,0.236139684915543,0.0558986328542233,0.0340140722692013,39.2541007995606,0.612055063247681,0.919688522815704,2832622.75,0.652836978435516,85007.14401888305,320577.8184617303,0.01239761260461481,0.03924697156732115,0.004154373002119353,0.347163021564484,1179.286190041524,20073.56020418923,18527.09197776608,1546.468226423149,72161.1931569633,0.01834067046587443,0.04672829762128609,-5681.141115846334,66480.05204111697
2000,3374667.25,12512483.0,81.797258,3.56631898880005,0.237588465213776,0.0527354329824448,0.0342130288481712,40.1490707397461,0.602222323417664,0.929557919502258,2894022.5,0.661848664283752,84053.43356201776,311650.6252687214,0.02279939985774741,0.01126078787338436,0.01073123828525984,0.338151335716248,1177.220764498411,19970.12627594789,21314.89286846315,-1344.766592515265,72081.92983492951,-0.00109842033600216,0.05328464315044588,-9343.389141374908,62738.54069355461
2001,3429975.25,12393276.0,81.933885,3.57492637634277,0.224828809499741,0.0578110404312611,0.0344065353274345,40.074951171875,0.597180306911469,0.938741385936737,2918126.75,0.646413683891296,85589.00634187649,309252.4292006555,-0.001846109175267293,0.01625631853704235,0.009879391312589074,0.3535863161087039,1201.856062597099,19242.87440210987,13589.03053530609,5653.843866803783,72816.72627583813,0.01019390633118905,0.05271408726566657,-816.750469267723,71999.97580657041
2002,3420399.75,12186689.0,82.068326,3.58355450630188,0.198769673705101,0.0593867711722851,0.034452173858881,39.9185104370117,0.589919328689575,0.935485482215881,2916237.0,0.641230821609497,85684.55367083711,305289.1720303454,-0.003903703692422568,-0.002795615199580936,-0.003468371342344711,0.358769178390503,1208.445780033897,17031.49077471951,12800.65050214048,4230.840272579024,73054.7550014822,0.003268874307015653,0.05775233401877727,-170.85183278558,72883.90316869662
2003,3430270.0,12486299.0,82.111615,3.59220337867737,0.198600709438324,0.0600455403327942,0.0343957729637623,39.5227508544922,0.587809979915619,0.932899415493012,2937218.5,0.639192342758179,86792.28863974966,315926.8707274406,-0.009914187132407496,0.002881545072185077,-0.002764411390696709,0.360807657241821,1210.003224934384,17237.01009763007,11329.99308795322,5907.017009676854,74317.15749780995,0.01728022352962699,0.05140542856798071,1145.138053986493,75462.29555179644
2004,3491848.0,12756074.0,82.092708,3.60087323188782,0.199520483613014,0.0643306076526642,0.0343610346317291,39.6837577819824,0.57469516992569,0.935700237751007,2946827.0,0.625171422958374,87991.86859227838,321443.197745543,0.004073778368387499,0.01779213368485699,0.003002276785128846,0.374828577041626,1219.582773150682,17556.18017554416,16012.99347257352,1543.186702970639,74257.760975901,-0.000799230270758257,0.06473022278804333,-2278.885856196137,71978.87511970486
2005,3522758.5,13010822.0,82.046731,3.60956406593323,0.198592945933342,0.0661219879984856,0.0344267562031746,39.6711311340332,0.56650984287262,0.941683232784271,2970970.25,0.61660224199295,88799.04351852181,327967.0034121672,-0.0003181817613787146,0.008813238511988786,0.006394136489314588,0.38339775800705,1222.454470806215,17634.86364840628,14919.11945615399,2715.744192252296,74889.98082666854,0.008513855554744302,0.06186506022111345,-1010.056764300723,73879.92406236782
2006,3682467.25,14063004.0,81.701971,3.61827564239502,0.20874497294426,0.0712248161435127,0.0346363037824631,39.8721542358398,0.551481187343597,0.957486212253571,3011906.0,0.602283895015717,92356.86710626606,352702.3876567777,0.005067238973535181,0.04433862842247827,0.01678162987204878,0.397716104984283,1240.618711187428,19279.03172531413,18017.68326220816,1261.348463105965,75539.08379730069,0.008667420707911237,0.06689110578955708,-1199.899953242788,74339.1838440579
2007,3865585.0,15071173.0,81.298542,3.62700843811035,0.215504065155983,0.072405181825161,0.0349585488438606,40.4395866394043,0.528404235839844,0.966721653938294,3022458.5,0.593248248100281,95589.13236351871,372683.6561013376,0.01423129535986919,0.04853005302967794,0.009645508798488255,0.406751751899719,1260.382694071707,20599.84660907162,22573.80917022454,-1973.962561152923,74740.09383307888,-0.01057717308785203,0.07769376836908701,-1724.770639784707,73015.32319329417
2008,3940595.0,16060772.0,81.110777,3.63576221466064,0.222388610243797,0.0657510533928871,0.0352986715734005,41.0326194763184,0.534068942070007,0.960982143878937,3052091.5,0.6085245013237,96035.66748338546,391414.7379566963,0.01466466119453987,0.01921869820663602,-0.00593708647776227,0.3914754986763,1245.490451211032,21357.2386254655,24011.12372151743,-2653.885096051927,74382.07794073412,-0.004790145074534374,0.06814612593015429,-2357.534178866081,72024.54376186803
